SENTENCE,R1,R2,R3,LABEL
This study is concerned with the removal of the anti-inflammatory dexamethasone from aqueous solution and hospital wastewater by electrocoagulation,-1.0,-1.0,-1.0,-1.0
"""The conjugates are synthesized via the esterification reaction between PEG and SA or DXM, and can spontaneously form micelles in an aqueous solution with a 65.6 Âµg/mL critical micelle concentration""",-1.0,-1.0,-1.0,-1.0
"""Cell cultures of human gingival fibroblasts obtained from healthy patients were used to evaluate the toxicity of six different endodontic cements: AH-26, Pulp Canal Sealer, Rocanal-R2, Rocanal-R3, Bioseal, and Endomethasone""",-1.0,-1.0,-1.0,-1.0
Our study suggests that choosing dexamethasone may result in less harmful effects when compared with other injectable steroids.,1.0,-1.0,1.0,
Our study suggests that choosing dexamethasone may result in less harmful effects when compared with other steroids.,,,,1.0
DWC is as safe as and more effective than standard local antiseptics in the management of wide postsurgical lesions in the infected diabetic foot.,1.0,1.0,1.0,1.0
"""RESULTS: The severity of swelling, pain and errhysis in the operated eyes was significantly lower in the ice compress group""",0.0,1.0,0.0,0.0
"""Thus, we aimed at evaluating the pulmonary outcomes of acute CYN intoxication and their putative mitigation by dexamethasone""",-1.0,0.0,-1.0,-1.0
The current article evaluated the effect of sodium valproate on acetic acid-induced ulcerative colitis in rats,-1.0,-1.0,-1.0,-1.0
"""The occurrence of postoperative nausea and vomiting (PONV), postoperative itching, number of vomiting attacks, and need for antiemetics were recorded in both groups""",0.0,1.0,1.0,0.0
"""On the day following surgery he presented polyuria with sodium 149 mEq/L, plasma osmolality 301 mOsm/kg, and urine osmolality 293 mOsm/kg""",0.0,1.0,0.0,0.0
"""Our filling protocol enclosed: accurate disinfection of the skin to be injected with povidone-iodine solution, followed by a local anaesthesia with 28G 13 mm needle, injecting 1.5 ml of 1% xylocaine""",0.0,0.0,-1.0,
" followed by a local anaesthesia with 28G 13 mm needle, injecting 1.5 ml of 1% xylocaine",,,,0.0
"""The hydrogel's pharmacological efficacy was assessed in an in vivo sunburn model induced by UVB light in Swiss mice, demonstrating that the sesamol-loaded nanocapsules significantly attenuated inflammatory responses, as evidenced by a reduction in ear thickness and polymorphonuclear cell infiltration""",-1.0,-1.0,-1.0,-1.0
"""Upon the implantation of microcone arrays under the subcutis of rats, the photo-polymerized construct made of the poorly swellable PEG200-based polymer exhibited only surface erosion and limited drug loading and releasing potentials""",-1.0,-1.0,-1.0,-1.0
"""Patients underwent blood gas studies, physical examinations, and pulmonary function testing at baseline (4 hours before extubation) and again 2 to 4 hours and 18 to 24 hours after extubation""",0.0,0.0,0.0,0.0
Sterile hydrogel pads were applied in a repeat procedure onto the normal-looking skin of the palms and face of 35 healthcare workers who were active in low exposure areas,0.0,0.0,0.0,0.0
"""Twenty-seven infants received dexamethasone, 0.25 mg/kg per dose, at baseline, and then every 8 hours for a total of three doses 23 infants received saline solution at corresponding times""",0.0,-1.0,0.0,
 and then every 8 hours for a total of three doses 23 infants received saline solution at corresponding times,,,,0.0
"""Reductions in body weight gain, anemia, decreased leukocyte and lymphocyte counts, compromised liver function, enlarged liver, and reduced spleen weight were consistent with systemic corticosteroid-mediated pharmacology, repeated use of anesthesia, stress, and sedentariness, and unlikely to be related to iontophoresis application""",0.0,-1.0,1.0,
" anemia, decreased leukocyte and lymphocyte counts, compromised liver function, enlarged liver, and reduced spleen weight were consistent with corticosteroid-mediated pharmacology, repeated use of anesthesia, stress, and sedentariness, and unlikely to be related to iontophoresis application""",,,,1.0
"""Before home discharge, the incidence of PONV, need for rescue antiemetics, quality or oral intake, and analgesic requirements did not differ between groups""",0.0,0.0,0.0,0.0
METHODS: 0.03% tacrolimus in perfluorobutylpentane (F4H5) (0.03% Tacrolimus/SFA) was formulated using a previously published protocol,0.0,0.0,0.0,0.0
"""ITC, at 30 or 300â€¯Î¼gâ€¯ml-1, did not cause DNA breakage in HeLa cells as assessed by an in vitro comet assay in the absence of S9 metabolic activation, whereas H2O2 caused extensive single-strand DNA breaks""",-1.0,-1.0,-1.0,-1.0
"""METHODS: This cohort study included Danish children undergoing cataract surgery before 10â€‰years of age, receiving either a low-dose or high-dose postoperative glucocorticoid treatment""",0.0,0.0,0.0,0.0
Subgroup analyses showed that this effect was strongest in colorectal surgery and that IOWI with antibiotic solutions had a stronger effect than irrigation with PVP-I or saline,0.0,0.0,0.0,0.0
