SENTENCE,R1,R2,R3,LABEL
"""No inter-group differences were observed in terms of success rate, performance time, number of needle passes, block-related pain, opioid consumption or adverse events""",1.0,1.0,1.0,1.0
"""Moreover, it was shown that they increase the analgesic effects of local anaesthetics and provide sedation, anxiolysis and haemodynamic stability""",0.0,0.0,0.0,0.0
The present study provides the basis for understanding and evaluating the effect of Rg1 in the in vivo treatment of lidocaine-induced transient neurological symptoms and cauda equina syndrome by lidocaine.,-1.0,-1.0,-1.0,-1.0
"""We conclude that whilst EMLA and Ametop are equally effective at reducing the pain of needle puncture, under some circumstances the use of Ametop may be more advantageous.""",0.0,0.0,0.0,0.0
Nicotinamide adenine dinucleotide-dependent deacetylase sirtuin-1 (SIRT1)/forkhead box O3 (FOXO3a) signaling is critical for maintaining neuronal function and regulation of the apoptotic pathway,-1.0,-1.0,-1.0,-1.0
"""Exposure to isoflurane or isoflurane plus lidocaine did not change the neuronal and synaptic density as well as the expression of NeuN (a neuronal protein), drebrin (a dendritic spine protein), synaptophysin (a synaptic protein), activated caspase 3 and caspase-activated DNase in the hippocampus at 29 days after isoflurane exposure when cognitive impairment was present""",-1.0,-1.0,-1.0,-1.0
"""The first group received lidocaine 1.5 mg/kg (Group LID) the second and third groups received esmolol 1 mg/kg and 2 mg/kg, respectively (Groups E1 and E2, respectively) the fourth group received lidocaine 1.5 mg/kg and esmolol 1 mg/kg (Group LID-E1) the fifth group received lidocaine 1.5 mg/kg and esmolol 2 mg/kg (Group LID-E2) the sixth group received saline as a placebo (Group PLAC)""",0.0,0.0,0.0,0.0
"""Postherpetic neuralgia is a common complication, while the postherpetic abdominal-wall pseudohernia (AWP) is a quite rare complication of herpes zoster (HZ)""",0.0,0.0,0.0,0.0
"""Subgroup analysis showed that when the aortic clamping time was greater than 120Â min, the advantages of DN were weakened""",0.0,0.0,0.0,0.0
DIAGNOSIS: The Ring and Messmer clinical severity scale grade 3 anaphylactic reaction occurred just after sugammadex injection and the patient developed prolonged hypotension with recurrent cardiac arrhythmias in postoperative 12â€Šhours,1.0,1.0,1.0,1.0
"""OBJECTIVE: The study was undertaken to evaluate the use of ketamine, xylazine, and diazepam along with a local retrobulbar nerve block for routine phacoemulsification in the dog""",-1.0,-1.0,-1.0,-1.0
"""Lidocaine, although safe, is ineffective in terminating stable VT not associated with acute myocardial infarction.""",1.0,0.0,1.0,1.0
We evaluated the in vitro and in vivo effect of lidocaine on rat muscle-derived progenitor cells (MDCs),-1.0,-1.0,-1.0,-1.0
"""RESULTS: The median and 95% confidence interval of alfaxalone dose was 1.5 (1.5-1.5) and 2.5 (1.5-2.5) mg kg-1 in groups F and C, respectively (pÂ = 0.001)""",0.0,0.0,0.0,0.0
"""Nearly all abnormalities with other assessments (texture, firmness, symmetry, device palpability) were mild and transient (<4 weeks)""",0.0,-1.0,0.0,0.0
The percentage of cell death was not significant for 1% lidocaine (12.5% P > .943) and 0.25% bupivacaine (16.5% P > .609),-1.0,-1.0,-1.0,-1.0
