SENTENCE,R1,R2,R3,LABEL
"""Direct comparison of EMLA versus lidocaine for pain control in Nd:YAG 1,064 nm laser hair removal.  """,0,0,0,0
"""Extracorporeal application of a gel-entrapment, bioartificial liver: demonstration of drug metabolism and other biochemical functions.  """,-1,-1,-1,-1
The safety of continuous pleural lignocaine after thoracotomy in children and adolescents.  ,1,1,1,1
Epidural anesthesia in capuchin monkeys (Sapajus libidinosus).  ,-1,-1,-1,-1
Lidocaine toxicity in the setting of HeartMate II left ventricular assist device.  ,1,1,1,1
Paraventricular nucleus is involved in the central pathway of cardiac sympathetic afferent reflex in rats.  ,-1,-1,-1,-1
Local anaesthetic effect of oxyfedrin in animals.  ,-1,-1,-1,-1
A comparison of alcoholic and aqueous formulations of local anaesthetic as a spray for the relief of post-episiotomy pain.  ,-1,-1,-1,-1
"""A prospective, open-label, multicenter, observational, postmarket study of the use of a 15Â mg/mL hyaluronic acid dermal filler in the lips.  """,-1,-1,-1,-1
Local anaesthesia toxicity is additive: a concern for neonatal caudal anaesthesia?  ,1,1,1,1
Lidocaine injection into the rat dorsal root ganglion causes neuroinflammation.  ,-1,-1,-1,-1
