SENTENCE,R1,R2,R3,LABEL
"""Choosing the most appropriate TKI requires clinicians to consider a host of patient-, disease-, and treatment-related factors, not the least of which include the safety profiles of the agents""",1.0,1.0,1.0,1.0
Parallel studies from the same animals assessed CaMKIIÎ´ expression and CaMKII activity following drug treatments,-1.0,-1.0,-1.0,-1.0
"""With prolonged treatment, IM results in a higher physical well-being, less fatigue and emotional and cognitive dysfunction, and very few side-effects.""",1.0,1.0,1.0,1.0
"""Cell growth inhibition was determined by 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyl-tetrazolium bromide (MTT) assay""",-1.0,-1.0,-1.0,-1.0
We have found hypopigmentation in 49.2% of the cases and a statistically significant association with interferon (IFN) intake,1.0,1.0,1.0,1.0
"""METHODS: This prospective, randomized, multicentric phase III study was designed to compare continuous (CONT) compared with interrupted (INT) imatinib beyond 1 year of treatment in patients with advanced GIST""",0.0,0.0,0.0,0.0
"""Real three-dimensional morphology and high resolution stiffness mapping revealed softening of both macro- and microvascular ECs upon dasatinib treatment, which was not observed in response to imatinib""",1.0,-1.0,0.0,-1.0
"""On the once-weekly multiple dosing schedule, both the PEG-IFN and neopterin concentration seemed to reach steady state by week 5 and the steady-state values were maintained with chronic dosing over 6 months""",0.0,0.0,0.0,0.0
"""Fortunately, the FIP1L1-PDGFRA fusion transcript had become undetectable, and imatinib treatment was stopped""",0.0,0.0,0.0,0.0
Venetoclax is a potent and selective member of the BH3 mimetic drugs and a physiologic antagonist of BCL2,0.0,0.0,0.0,0.0
It also is approved for the treatment of Philadelphia Chromosome positive (Ph+) acute lymphoblastic leukemia (ALL) resistant or intolerant to imatinib.A single daily dose of 100 mg in chronic phase CML results in high hematologic and molecular remission rates and prolongation of survival,0.0,0.0,0.0,0.0
"""Overall, a significant interaction was found between the type of antihypertensive medication used and the yearly change in eGFR (Pâ€‰<â€‰0.01), with RAASi users exhibiting the most rapid decrease in eGFR (-â€‰5.5%/year)""",0.0,0.0,0.0,0.0
"""Moreover, the median duration of each episode and frequency decreased from 5 to 2Â min and from 30 to 3 times per month (Pâ€‰<â€‰0.001), respectively""",0.0,0.0,0.0,0.0
It constitutes a successful example of rational drug design based on the optimization of the chemical structure to reach an improved pharmacological activity,0.0,-1.0,0.0,-1.0
