SENTENCE,R1,R2,R3,LABEL
Imatinib and ruxolitinib association: first experience in two patients.  ,-1,-1,-1,-1
HCVAD plus imatinib or dasatinib in lymphoid blastic phase chronic myeloid leukemia.  ,-1,-1,-1,-1
Management of chronic myeloid leukemia in 2023 - common ground and common sense.  ,0,0,0,0
Osteonecrosis of the tibia associated with imatinib in metastatic GI stromal tumor.  ,1,1,1,1
Lichenoid drug eruption with hyperpigmentation caused by imatinib mesylate.  ,1,1,1,1
Efficacy and safety of nilotinib in chronic myeloid leukaemia patients who failed to achieve a treatment-free remission period after imatinib discontinuation: Results of the French Nilo post-STIM study.  ,1,1,1,1
Phase II trial of imatinib (Gleevec) in patients with metastatic renal cell carcinoma.  ,0,0,0,0
Erythropoietin overcomes imatinib-induced apoptosis and induces erythroid differentiation in TF-1/bcr-abl cells.  ,-1,-1,-1,-1
Development of myelodysplastic syndrome in a patient with chronic myelogenous leukemia treated with imatinib.  ,1,1,1,1
Incidence of Clinically Significant (â‰¤10 g/dL) Late Anemia in Elderly Patients with Newly Diagnosed Chronic Myeloid Leukemia Treated with Imatinib.  ,1,1,1,1
Isolated abdominal wound metastasis from a gastrointestinal stromal tumor.  ,0,0,0,0
The importance of drug metabolites synthesis: the case-study of cardiotoxic anticancer drugs.  ,1,1,1,1
Recent advances in management of small-cell lung cancer.  ,0,0,0,0
A pilot study of imatinib mesylate (STI571) on gastrointestinal stromal tumors in Japanese patients.  ,0,0,0,0
Dasatinib or high-dose imatinib for chronic-phase chronic myeloid leukemia after failure of first-line imatinib: a randomized phase 2 trial.  ,0,0,0,0
Insulin resistance is an underlying mechanism of impaired glucose metabolism during nilotinib therapy.  ,1,1,1,1
Pulmonary complications of Bcr-Abl tyrosine kinase inhibitors.  ,1,1,1,1
Long-term outcome of chronic myeloid leukemia patients treated frontline with imatinib.  ,0,0,0,0
Safety and efficacy of imatinib (STI571) in metastatic gastrointestinal stromal tumours: a phase I study.  ,1,1,1,1
