SENTENCE,R1,R2,R3,LABEL
Heparin-induced thrombocytopenia type II after cardiac surgery: predictors and outcome.  ,1,1,1,1
Antithrombin supplementation in adult patients receiving extracorporeal membrane oxygenation.  ,0,0,0,0
Examining safety and efficacy of a fixed concentration heparin dosing strategy for anticoagulation in neonatal extracorporeal membrane oxygenation.  ,1,1,1,1
Thromboprophylaxis in Extracorporeal Circuits: Current Pharmacological Strategies and Future Directions.  ,0,0,0,0
Direct Thrombin Inhibition in Extracorporeal Membrane Oxygenation.  ,0,0,0,0
Case report: pediatric liver retransplantation on an extracorporeal membrane oxygenation-dependent child.  ,0,0,0,0
[Heparin resistance and antithrombin deficiency].  ,1,1,1,1
aPTT-guided anticoagulation monitoring during ECMO support: A systematic review and meta-analysis.  ,0,0,0,0
More evidence available for the use of Bivalirudin in patients supported by extracorporeal membrane oxygenation.  ,0,0,0,0
Extracorporeal membrane oxygenation in the treatment of respiratory failure--a review.  ,0,0,0,0
The effects of nitric oxide on coagulation and inflammation in ex vivo models of extracorporeal membrane oxygenation and cardiopulmonary bypass.  ,-1,-1,-1,-1
Anticoagulation practices associated with bleeding and thrombosis in pediatric extracorporeal membrane oxygenation  a multi-center secondary analysis.  ,1,1,1,1
Clinical evaluation of two different extracorporeal membrane oxygenation systems: a single center report.  ,0,0,0,0
Use of a novel anticoagulation strategy during ECMO in a pediatric population: single-center experience.  ,0,0,0,0
Case Report of Severe Antithrombin Deficiency During Extracorporeal Membrane Oxygenation and Therapeutic Plasma Exchange for Double Lung Transplantation.  ,1,1,1,1
Antithrombin Dose Optimization in Extracorporeal Membrane Oxygenation in Infants.  ,0,0,0,0
Outcomes With Direct and Indirect Thrombin Inhibition During Extracorporeal Membrane Oxygenation for COVID-19.  ,0,0,0,0
Successful use of bivalirudin as anticoagulant for ECMO in a patient with acute HIT.  ,0,0,0,0
Acute Neurologic Complications During Extracorporeal Membrane Oxygenation: A Systematic Review.  ,1,1,1,1
