SENTENCE,R1,R2,R3,LABEL
The doses of chemotherapeutic agents for tumor sizes in selective Lip-TAI procedures were higher than those in selective Lip-TAI + TAE procedures,0.0,0.0,0.0,0
"""In the gel-treated group, embolized aneurysms did not shrink significantly, and stent-graft thrombosis developed in 3/6 embolized aneurysms however, the 3 other aneurysms showed no endoleaks, while all 6 saline-treated controls exhibited persistent endoleaks""",-1.0,0.0,0.0,0
"""After ethical approval by the Institutional Review Board, these patients' data were retrospectively analysed""",0.0,0.0,0.0,0
The remaining 12 animals were treated with the high-dose solution and serially sacrificed for clarification of chronologic change of concentration of the anticancer drug in liver tissues,-1.0,-1.0,-1.0,-1
"""Seven subjects underwent embolization with N-butyl cyanoacrylate (NBCA)-Lipiodol (ethiodized oil, Guerbet and metallic coils""",0.0,0.0,0.0,0
Side effects of conventional transarterial chemoembolization and drug-eluting beads-based transarterial chemoembolization were similar,1.0,1.0,1.0,1
The 1:1 NBCA combination ratio resulted in the most intense tissue repair reaction and a slower degradation rate of markers,-1.0,0.0,0.0,-1
Histological examination revealed that there was no viable tumor cell in the encapsulated necrotic tumor at 21 days after administration,0.0,0.0,0.0,0
"""However, despite promising results of preliminary studies, clear evidence of superiority of DEB-TACE over cTACE is still lacking""",0.0,0.0,0.0,0
"""The median overall survival was 9.2 months (95% CI: 6.1, 12.3 months) for patients treated with TACE and 7.4 months (95% CI: 5.6, 9.2 months) for those treated with sorafenib (P = .377)""",0.0,0.0,0.0,0
"""PARTICIPANTS/MATERIALS, SETTING, METHODS: In a subset of 400 participating women, pain during HSG by means of the Visual Analogue Scale (VAS) (range: 0.0-10.0 cm) was reported, while in 512 women, we registered the volume of used contrast (in millilitres)""",0.0,0.0,0.0,0
MATERIALS AND METHODS: Five patients with muscle invasive urinary bladder cancer were included in the study,0.0,0.0,0.0,0
"""In this phase I trial, we showed that two sessions of treatment with a transarterial idarubicin_lipiodol emulsion without embolisation was well tolerated and gave promising efficacy in terms of tumour control and patient survival.""",-1.0,1.0,1.0,1
"""Moreover, it also showed flocculous and linear high-density shadow in the pancreatic tail, suggesting lipiodol deposition in the pancreatic tail""",1.0,0.0,0.0,1
"""Deterioration in Child-Pugh status followed a session of TACE on 19/148 (12.8%) occasions but resulted in unscheduled hospitalization on only 4/148 (2.7%) occasions, the highest incidence (8.3%) in Child-Pugh C patients""",1.0,1.0,0.0,1
They were separated into two groups: group A includes 24 single isolated metastatic lymph nodes and group B includes 12 multiple and confluent nodes,0.0,0.0,0.0,0
"""The median overall survival of the entire intention-to-treat group of patients was 5.2 months (range, 0.1-27.6 months), for patients with complete or partial response in hepatic metastases 21.9 months (range, 7.4-27.6 months), for patients with stable disease 8.7 months (range, 2.9-14.4 months) and for patients with progressive disease 3.3 months (range, 1.6-5.6 months)""",0.0,0.0,0.0,0
"""During this period, 0.4 mg/kg of doxorubicin and 0.12 mg/kg of mitomycin C suspended in Lipiodol Ultra-Fluide were also injected twice intra-arterially""",-1.0,-1.0,0.0,-1
Infusion of the EDX-lipiodol emulsion (EDX-L) via the hepatic artery was followed by the injection of gelatin sponge in 12 cases,-1.0,-1.0,0.0,-1
Multivariate linear regression displayed that EPO (Pâ€‰<â€‰0.001) was an independent predictive factor for increased total image quality score,0.0,0.0,0.0,0
"""Trans-catheter embolisation of the spleen has significant complications, despite strict asepsis and antibiotic cover""",1.0,0.0,1.0,1
Set-up errors were evaluated in addition to the stability and visibility of each on verification imaging,0.0,0.0,0.0,0
The tumor regression rate was determined on the basis of two-dimensional evidence obtained by computed tomography performed before and after treatment,0.0,0.0,0.0,0
"""As of October 1, 1994, 39 of the 50 patients assigned to chemoembolization and 40 of the 46 patients assigned to conservative management had died""",1.0,0.0,1.0,1
"""The aim of this prospective, randomized trial was to compare the efficacy and tolerance of 131I-labeled Lipiodol and chemoembolization for the treatment of patients with HCC""",1.0,1.0,1.0,1
We report a patient with hepatocellular carcinoma who developed multiple hepatic infarction after transcatheter arterial infusion (TAI) with a suspension of styrene maleic acid neocarzinostatin (SMANCS) and Lipiodol (SMANCS/Lipiodol),-1.0,1.0,1.0,1
After the first treatment 2 nodules of recurrent tumour were resected and proved to be totally necrotic,0.0,0.0,0.0,0
"""Lymphoscintigraphy with ethiodized oil eventually revealed a thoracic duct leak, and lymphatic embolization was successfully performed with a 4-mm metallic spiral and glue""",-1.0,0.0,0.0,0
"""BACKGROUND: Transcatheter arterial infusion chemotherapy (TAI) using a combination of iodized oil (lipiodol) and degradable starch microspheres (DSMs) has been reported to be superior to TAI with either lipiodol or DSMs separately for the treatment of hepatocellular carcinoma (HCC), based on the results of a prospective randomized study""",0.0,0.0,0.0,0
OBJECTIVE: Cyanoacrylate (CYA) injection is recommended for bleeding gastric varices (GV) but with significant adverse effects,1.0,1.0,1.0,1
"""METHODS: In this retrospective study, 132 patients with unresectable HCCs larger than 10 cm were treated with hepatic infusion of oxaliplatin and 5-fluorouracil followed by Lipiodol chemoembolization""",0.0,0.0,0.0,0
"""In this work, Pluronic F127 and a naturally iodinated compound, Lipiodol, were used to form radiopaque nanoreservoir structures""",0.0,0.0,0.0,0
The objective of our study was to compare the clinical effects of transcatheter arterial chemoembolization (TACE) combined with interferon-alpha (IFN-Î±) therapy on recurrence after hepatic resection in patients with HBV-related HCC with that of TACE chemotherapy alone,0.0,0.0,0.0,0
The present study aimed to investigate the frequency and risk factors for neonatal thyroid dysfunction following HSG,0.0,0.0,1.0,0
The present study aimed to investigate the frequency and risk factors for neonatal thyroid dysfunction following lipiodol administration,,,,1
Objective To evaluate the long-term efficacy and safety of selective arterial embolization (SAE) in the treatment of renal angiomyolipomas (AMLs),1.0,1.0,1.0,1
The tissue distribution of etoposide was subsequently analyzed by high performance liquid chromatography,0.0,0.0,0.0,0
"""Importantly, 13 of the 18 patients who achieved complete response, partial response or stable disease subsequently developed progression of extrahepatic metastases with control of hepatic metastases""",0.0,0.0,0.0,0
"""Encouraging response rates and survival have been reported with intra-arterial (i.a.) chemotherapy and chemo-embolisation, but limited data are available on the association of the two treatment modalities""",0.0,0.0,0.0,0
"""In addition, the 131I-lipiodol loaded HA-g-PCL micelles had better affinity and higher cytotoxicity compared to HepG2 cells.""",0.0,1.0,0.0,-1
Histologic examination of the specimens obtained by hepatectomy also showed that this treatment was relatively ineffective in daughter tumor and portal tumor thrombi,0.0,0.0,0.0,0
"""In addition, micelles have shown many advantages, such as enhanced permeation and retention (EPR) effects, prolonged circulation times, and increased endocytosis through surface modification""",-1.0,-1.0,0.0,-1
"""Other previously reported causes of neonatal portal vein thrombosis such as umbilical vein thrombosis, neonatal umbilical vein catheterization, thrombophilia and sepsis were excluded""",0.0,0.0,0.0,0
In 2 cases the diagnosis was more difficult because the patients did not remember the previous injection and the progressive resorption mimicked perfectly intraductal calcification,0.0,0.0,0.0,0
Several preoperative methods have been developed to localize small pulmonary lesions prior to video-assisted thoracic surgery,0.0,0.0,0.0,0
"""AIM: Transarterial chemoembolization (TACE) combined with lenvatinib, employing a 4-day lenvatinib administration followed by TACE without an interval (short-term LEN-TACE), was performed for hepatocellular carcinoma (HCC)""",0.0,0.0,0.0,0
"""Grade 3 elevation of serum transaminase levels was found in 23.4% of the patients however, the values returned to the baseline levels""",1.0,1.0,1.0,1
PURPOSE: Analysis of preprocedural factors that may be helpful in predicting the severity of pain and nausea after hepatic arterial embolization (HAE) for liver neoplasms,1.0,1.0,1.0,1
"""The injected doses of lipiodol, epirubicin, and mitomycin C were lower in patients without detection than in patients with detectable chemotherapeutic agents (all p<0.05)""",0.0,0.0,0.0,0
