SENTENCE,R1,R2,R3,LABEL
Conventional transarterial chemoembolisation in combination with sorafenib for patients with hepatocellular carcinoma: a pilot study.  ,-1,0,-1,-1
Unusual cause of hiccup and abdominal pain after gastric variceal obliteration.  ,1,1,1,1
Pulmonary metastasis of hepatocellular carcinoma associated with transarterial chemoembolization.  ,1,1,1,1
Ether-dissolved ethiodol for lymphangiography: an experimental study.  ,-1,-1,-1,-1
Computed tomography of hepatic oil embolism following lymphangiography.  ,-1,-1,1,1
Mammographic pattern due to residual Lipiodol after galactography.  ,1,1,1,1
Cerebral Lipiodol Embolism after Lymphatic Embolization for Plastic Bronchitis.  ,1,1,1,1
Novel predictors for immediate puncture site bleed during endoscopic glue injection for gastric varices without using lipiodol.  ,1,1,-1,1
Construction and Validation of Prediction Model of Severe Abdominal Pain Post-Transarterial Chemoembolization in Patients with HBV-Associated Primary Liver Cancer.  ,-1,-1,1,1
Iodine-induced thyrotoxicosis in a patient treated with glue and lipiodised oil for pelvic congestion syndrome.  ,1,1,1,1
Transarterial Chemoembolization of Child-A hepatocellular carcinoma: drug-eluting bead TACE (DEB TACE) vs. TACE with cisplatin/lipiodol (cTACE).  ,0,0,-1,0
Transarterial ethanol ablation of hepatocellular carcinoma with lipiodol ethanol mixture: phase II study.  ,0,0,0,0
Pancreatitis after transcatheter embolization of a splenic aneurysm.  ,1,1,1,1
Hepatic parenchymal changes following transcatheter embolization and chemoembolization in a rabbit tumor model.  ,-1,-1,-1,-1
Case report: extravasation of lipiodol--a complication of dacryocystography.  ,1,1,1,1
Study of severe and rare complications of transarterial chemoembolization (TACE) for liver cancer.  ,1,1,1,1
Cerebral Lipiodol Embolism in Hepatocellular Carcinoma Patients Treated with Transarterial Embolization/Chemoembolization.  ,1,1,1,1
[Single center experience over a 5-year period with sequential transarterial chemoembolization (TACE) in the treatment of hepatocellular carcinoma (HCC)].  ,0,0,1,1
Contrast media for hysterosalpingography: systematic search and review providing new guidelines by the Contrast Media Safety Committee of the European Society of Urogenital Radiology.  ,0,0,-1,1
Intraperitoneal hemorrhage due to rupture of hepatocellular carcinoma after transcatheter arterial embolization with Lipiodol. A case report.  ,1,1,1,1
Usefulness of miriplatin as an anticancer agent for transcatheter arterial chemoembolization in patients with unresectable hepatocellular carcinoma.  ,0,0,0,0
Safety and Efficacy of Glass Membrane Pumping Emulsification Device in Transarterial Chemoembolization for Hepatocellular Carcinoma: First Clinical Outcomes.  ,1,1,1,1
Transarterial chemotherapy with zinostatin stimalamer for hepatocellular carcinoma.  ,0,0,0,0
Hepatic vascular side effects of styrene maleic acid neocarzinostatin in the treatment of hepatocellular carcinoma.  ,1,1,1,1
Aberrations in pulmonary function due to lymphangiography.  ,1,0,1,0
Focal therapeutic efficacy of transcatheter arterial infusion of styrene maleic acid neocarzinostatin for hepatocellular carcinoma.  ,0,0,0,0
Safety and pharmacokinetics of iotrolan in hysterosalpingography. Retention and irritability compared with Lipiodol.  ,1,1,1,1
A 5-year experience of lipiodolization: selective regional chemotherapy for 200 patients with hepatocellular carcinoma.  ,0,0,1,1
Cerebral lipiodol embolism following abdomen trauma in a patient with hepatocellular carcinoma treated with transcatheter arterial chemoembolization.  ,1,1,1,1
Treatment of renal-vascular injury by transcatheter embolization: immediate and long-term effects on renal function.  ,1,0,0,0
