SENTENCE,R1,R2,R3,LABEL,Unnamed: 5
"""ROUTINE-a prospective, multicentre, non-interventional, observational study to evaluate the safety and effectiveness of intravenous tocilizumab for the treatment of active rheumatoid arthritis in daily practice in Germany.  """,1,1,1,1,
Tocilizumab in Giant Cell Arteritis: A Multicenter Retrospective Study of 34 Patients.  ,0,0,0,0,
Does tocilizumab eliminate inflammation in GCA? A cohort study on repeated temporal artery biopsies.  ,0,0,0,0,
Subcutaneous tocilizumab for active thyroid eye disease refractory to orbital radiation and systemic steroids in tobacco smokers.  ,0,0,0,0,
Nosocomial Infections in COVID-19 Patients Treated with Immunomodulators: A Narrative Review.  ,0,1,-1,1,
"""Non-Medical Switching from Tocilizumab to Sarilumab in Rheumatoid Arthritis Patients with Low Disease Activity, an Observational Study.  """,0,0,0,0,
Incidence and Outcomes of COVID-19 in Kidney and Liver Transplant Recipients With HIV: Report From the National HOPE in Action Consortium.  ,0,0,-1,0,
[Efficacy and tolerance of tocilizumab for corticosteroid sparing in giant cell arteritis and aortitis: Experience of Nimes University Hospital about eleven patients].  ,1,1,1,1,
The IL-6 antagonist tocilizumab is associated with worse depression and related symptoms in the medically ill.  ,1,1,1,1,
Cancellations of elective surgical procedures due to inadequate management of chronic medications.  ,0,0,0,0,
Tocilizumab in systemic juvenile idiopathic arthritis in a real-world clinical setting: results from 1 year of postmarketing surveillance follow-up of 417 patients in Japan.  ,0,1,1,1,
Laboratory and febrile features after joint surgery in patients with rheumatoid arthritis treated with tocilizumab.  ,1,1,1,1,
"""Interactions of warfarin with COVID-19 vaccine/drugs, monoclonal antibodies, and targeted anticancer agents from real-world data mining.  """,1,-1,0,1,
Results of ARI-0001 CART19 cell therapy in patients with relapsed/refractory CD19-positive acute lymphoblastic leukemia with isolated extramedullary disease.  ,0,0,-1,1,
A retrospective review of the persistence on bDMARDs prescribed for the treatment of rheumatoid arthritis in the Australian population.  ,0,0,0,0,
Interventions for treatment of COVID-19: Second edition of a living systematic review with meta-analyses and trial sequential analyses (The LIVING Project).  ,0,0,-1,0,
Anti-Interleukin-6 Receptor Tocilizumab for Severe Juvenile Idiopathic Arthritis-Associated Uveitis Refractory to Anti-Tumor Necrosis Factor Therapy: A Multicenter Study of Twenty-Five Patients.  ,0,0,0,0,
Potential risk of TNF inhibitors on the progression of interstitial lung disease in patients with rheumatoid arthritis.  ,1,1,1,1,
Biotherapy in juvenile idiopathic arthritis Moroccan patients: a single-center experience.  ,0,0,0,0,
Clinical and radiological features of acute-onset diffuse interstitial lung diseases in patients with rheumatoid arthritis receiving treatment with biological agents: importance of Pneumocystis pneumonia in Japan revealed by a multicenter study.  ,1,1,1,1,
Management of immunotherapy colitis: Special considerations in the COVID-19 era.  ,1,0,-1,1,
Treatment of severe cutaneous adverse reaction with tocilizumab.  ,1,1,1,1,
Comparative effectiveness of tocilizumab with either methotrexate or leflunomide in the treatment of rheumatoid arthritis.  ,0,0,0,0,
[Respiratory virus infections after hematopoietic cell transplantation].  ,1,0,0,1,si transplantation cellulaire = procédure
Tocilizumab: a review of its use in the management of rheumatoid arthritis.  ,0,0,0,0,
Serious adverse events with tocilizumab: Pharmacovigilance as an aid to prioritize monitoring in COVID-19.  ,1,1,1,1,
Protocol for the insight study: a randomised controlled trial of single-dose tocilizumab in patients with depression and low-grade inflammation.  ,0,0,0,0,
Successful resumption of tocilizumab for rheumatoid arthritis after resection of a pulmonary Mycobacterium avium complex lesion: a case report.  ,1,0,1,1,
"""Clinical, radiographic and immunogenic effects after 1 year of tocilizumab-based treatment strategies in rheumatoid arthritis: the ACT-RAY study.  """,0,0,0,0,
Pharmacologic Treatment of Transplant Recipients Infected With SARS-CoV-2: Considerations Regarding Therapeutic Drug Monitoring and Drug-Drug Interactions.  ,0,0,-1,1,intéractions med
