SENTENCE,R1,R2,R3,LABEL
"""Further ER analyses, which considered the effects of predefined covariates and the different shapes of the ER relationship, focused on efficacy""",0,0.0,0.0,0
"""Estimated median progression-free survival (PFS) was 27.9â€‰weeks, the PFS rate at 24â€‰weeks was 58.8%, overall survival (OS) was 56.6â€‰weeks, the disease control rate was 64.7% and no complete response or partial response was detected""",0,0.0,0.0,0
"""RESULTS: Thirty patients (median age, 32â€‰years 33% women [10 patients] bone primary, 40% extraskeletal primary, 60%) enrolled at 14 sites""",-1,0.0,0.0,0
"""A literature search was conducted on PubMed selecting review articles, original studies and clinical trials, with a focus on Phase III studies""",0,0.0,0.0,0
"""Basal-to-apical transport of M-2 and M-5 was observed in LLC-PK1-Pgp and MDCKII/BCRP/PDZK1 cells, which was inhibited by elacridar and the BCRP inhibitor Ko143, respectively""",-1,-1.0,-1.0,-1
"""Sixteen patients required dose reductions, most often for hypophosphatemia (nÂ =Â 7 reductions in 6 patients) two stopped regorafenib for toxicity""",1,1.0,1.0,1
"""Our case underlines the basis to further evaluate the anti-inflammatory, antipyretic, and analgesic effects of henna""",-1,0.0,0.0,0
"""As far as we were concerned, this was the first reported in terms of regorafenib-induced TMA confirmed by renal biopsy""",1,1.0,1.0,1
"""We aimed to summarize our experience regarding prescribing patterns, efficacy and toxicity of regorafenib and determine the role of response assessment by Choi criteria in GIST patients""",1,1.0,1.0,1
Here we report detailed safety data from FRESCO-2 including an analysis of treatment-related adverse events of special interest (AESIs),1,1.0,1.0,1
We aim to evaluate the safety and outcomes of regorafenib as second-line treatment for HCC recurrence after liver transplantation (LT),1,1.0,1.0,1
"""With conservative management, including tight blood pressure control, his symptoms improved and MRI findings resolved""",0,0.0,0.0,0
WHAT IS NEW AND CONCLUSION: This is the first report of bilateral sensorineural hearing loss induced by regorafenib.,1,1.0,1.0,1
"""RESULTS: A total of 133 patients were included in the study (regardless of first-line treatment), including 94 who received regorafenib plus PD-1 inhibitors and 39 who received regorafenib""",0,0.0,0.0,0
We conclude that our patient developed gastrointestinal perforation during regorafenib therapy and note that clinicians should be aware of this possible complication in patients with a history of prior treatment with BV.,1,1.0,1.0,1
