SENTENCE,R1,R2,R3,LABEL
Lactobacillus rhamnosus probiotic treatment modulates gut and liver inflammatory pathways in a hepatocellular carcinoma murine model. A preliminary study.  ,-1,-1,-1,-1
Efficacy and safety of anlotinib in patients with unresectable or metastatic bone sarcoma: A retrospective multiple institution study.  ,1,1,1,1
[Eye Drops Instead of Intravitreal Injections? The Dream of Treating Macular Diseases by Topically Administered Drugs].  ,-1,-1,-1,-1
Impact of preexisting proteinuria on the development of regorafenib-induced problematic proteinuria in real-world metastatic colorectal cancer treatment.  ,1,1,1,1
Risk of gastrointestinal events with newly approved (after 2011) vascular endothelial growth factor receptor tyrosine kinase inhibitors in cancer patients: a meta-analysis of randomized controlled trials.  ,1,1,1,1
Regorafenib: a guide to its use in advanced gastrointestinal stromal tumor (GIST) after failure of imatinib and sunitinib.  ,0,0,0,0
Molecular targeted and immune checkpoint therapy for advanced hepatocellular carcinoma.  ,0,0,0,0
The salvage lenvatinib-based regimen provides survival benefit in patients with refractory metastatic colorectal cancer.  ,0,0,0,0
Comparison of efficacy and safety for patients with beyond second line treated metastatic colorectal cancer: a network meta-analysis of randomized controlled trials.  ,1,1,1,1
Osteonecrosis of the Jaw and Angiogenesis inhibitors: A Revival of a Rare but Serous Side Effect.  ,1,1,1,1
Efficacy and safety of targeted drugs in advanced or metastatic gastric and gastroesophageal junction cancer: A network meta-analysis.  ,1,1,1,1
Phase 2 study of irinotecan plus cetuximab rechallenge as third-line treatment in KRAS wild-type metastatic colorectal cancer: JACCRO CC-08.  ,-1,-1,-1,-1
Small bowel wall edema induced by regorafenib is associated with regorafenib intolerance and shorter survival in patients with metastatic colorectal cancer: A retrospective study.  ,1,1,1,1
Clinical Outcomes of 2nd- and 3rd-Line Regorafenib for Advanced Hepatocellular Carcinoma.  ,0,0,0,0
Efficacy of Regorafenib in Hepatocellular Carcinoma Patients: A Systematic Review and Meta-Analysis.  ,0,0,0,0
"""TAS-102 with or without bevacizumab in patients with chemorefractory metastatic colorectal cancer: an investigator-initiated, open-label, randomised, phase 2 trial.  """,0,0,0,0
