SENTENCE,R1,R2,R3,LABEL
"""BACKGROUND: Fumaric acid esters (FAE) are used as an effective and safe oral treatment for plaque psoriasis in adult patients, but little is known about their efficacy and safety in children with psoriasis""",1.0,-1.0,1.0,1
"""Health-related quality of life was assessed through the 54-item MS quality of life (MSQOL-54) questionnaire, showing a statistically significant improvement in both composite scores and in most of the individual domains""",-1.0,0.0,0.0,0
"""Unlike the phase III pivotal studies, this study permitted enrollment of patients with controlled diabetes, certain cardiac and pulmonary conditions, older age, and higher baseline Expanded Disability Status Scale""",0.0,0.0,0.0,0
"""BACKGROUND: Accumulating evidence indicates that an early, robust type 1 interferon (IFN) response to SARS-CoV-2 is important in determining COVID-19 outcomes, with an inadequate IFN response associated with disease severity""",1.0,-1.0,-1.0,0
The evidence emerging from such studies suggests that brief immunosuppression with mitoxantrone followed by maintenance therapy with GA may provide a synergistic effect on control of disease activity and can be administered with an acceptable risk,1.0,0.0,1.0,1
This result is consistent with serology studies showing that the NABs directed against r-IFNs do not effectively cross-react with n-IFNs.,-1.0,-1.0,-1.0,-1
"""Class-specific side effects include fever, chills, myalgias, arthralgias, and other flulike symptoms beginning 2 to 6 hours after injection and resolving within 24 hours of injection""",1.0,1.0,1.0,1
Pegylation of the interferon beta-1a molecule prolongs its half-life while maintaining its efficacy and safety profile,1.0,-1.0,1.0,0
A syngeneic mouse model was used to evaluate anti-tumor efficacy and toxicity profile of FTY720 in vivo,-1.0,-1.0,-1.0,-1
The management of alopecia areata is challenging and all available treatments do not ensure a long-term remission to assess the safety and efficacy of systemic dimethyl fumarate in alopecia areata patients not responding to other systemic treatments,1.0,1.0,1.0,1
There were no episodes in which the patient required pharmacological intervention or temporary cardiac pacing,0.0,0.0,0.0,0
"""RESULTS: Of 321 patients, 255 switched from NTZ to rituximab/ocrelizumab, 52 to fingolimod, and 14 to alemtuzumab, with higher annualized relapse rate (ARR) in fingolimod switchers (0.193) compared with rituximab/ocrelizumab or alemtuzumab (0.028 and 0.032, respectively)""",0.0,1.0,0.0,0
We describe two multiple sclerosis patients who displayed widespread urticaria due to intramuscular interferon beta-1a (INF-Î²-1a),1.0,1.0,1.0,1
"""Cyclophosphamide (CP) is a chemotherapeutic agent which is extensively used in the treatment of multiple neoplastic and nonneoplastic diseases like breast cancer, lymphomas, systemic lupus erythematosus, and multiple sclerosis""",0.0,0.0,0.0,0
"""Patients received 30 microg once weekly plus placebo (n = 12), IM IFNbeta-1a 60 microg once weekly plus placebo (n = 11), IM IFNbeta-1a 30 microg twice weekly (n = 11), IM IFNbeta-1a 60 microg twice weekly (n = 11), or placebo twice weekly (n = 22)""",0.0,0.0,0.0,0
"""In vivo, S1P concentration increased rapidly in the peritoneal cavity after initiation of peritonitis""",0.0,0.0,-1.0,-1
STUDY SELECTION AND DATA EXTRACTION: All English-language studies and abstracts pertaining to fingolimod were considered for inclusion,0.0,0.0,0.0,0
The patient and family should be engaged in the choice of therapy as this is likely to promote adherence,0.0,0.0,0.0,0
These adverse events were selected because of the relative frequency of injection site reactions and because of the severity and sequelae of certain injection site and non-injection site necroses,1.0,0.0,1.0,1
BACKGROUND: Comparisons between cladribine and other potent immunotherapies for multiple sclerosis (MS) are lacking,0.0,0.0,0.0,0
"""OBJECTIVES: This study aims to elucidate the safety, tolerability, and efficacy of DRF in a real-world setting, utilizing data from a Spanish national registry of patients commencing DRF therapy post-market introduction""",1.0,-1.0,1.0,1
Study characteristics and results were extracted and presented in structured tables to conduct a narrative synthesis,0.0,0.0,0.0,0
"""CONCLUSIONS: Despite current strategies, refractory or recurrent cytomegalovirus infection and disease remain a clinical challenge to treat in the stem cell transplant patient population""",0.0,0.0,0.0,0
"""In the interest in expediting the dissemination of this material, the familiar formatting has been eliminated this letter serves as a summary of the key elements of the full protocol.""",-1.0,0.0,-1.0,-1
"""The combination of red cell aplasia, immune thrombocytic purpuraÂ and autoimmune neutropeniaÂ has not previously been described in the literature following alemtuzumab immunotherapy and highlights the importance of monthly blood monitoring post alemtuzumab administration.""",1.0,-1.0,1.0,1
"""The proportion of patients with secondary progressive MS that stopped IMD therapy was 30%, while only 13.5% of the patients with relapsing remitting MS stopped therapy (P < 0.0001)""",0.0,1.0,0.0,0
"""There was a prompt and successful resolution of fluid following treatment however, a subsequent presumed ocular surface disease urged the discontinuation of anti-inflammatory drops""",1.0,0.0,1.0,1
OBJECTIVE: Report the safety and tolerability of ofatumumab in RMS after extended treatment up to 3.5â€‰years,1.0,-1.0,1.0,1
