SENTENCE,R1,R2,R2,LABEL
Calcified subcutaneous nodules: a long-term complication of interferon beta-1a therapy.  ,1,1,1,1
Subcutaneous Interferon-Î²1a Does Not Increase the Risk of Stroke in Patients with Multiple Sclerosis: Analysis of Pooled Clinical Trials and Post-Marketing Surveillance.  ,1,1,1,1
Fingolimod-Associated Central Serous Retinopathy Presenting Eight Years after Treatment Initiation: a Case Report.  ,1,1,1,1
An alternative to product-specific pregnancy registries? PRIM  PRegnancy outcomes Intensive Monitoring.  ,1,1,0,1
Second-line therapy with fingolimod for relapsing-remitting multiple sclerosis in clinical practice: the effect of previous exposure to natalizumab.  ,0,0,1,1
Class A scavenger receptor deficiency augments angiotensin II-induced vascular remodeling.  ,-1,-1,-1,-1
Immunosuppression With FTY720 Reverses Cardiac Dysfunction in Hypomorphic ApoE Mice Deficient in SR-BI Expression That Survive Myocardial Infarction Caused by Coronary Atherosclerosis.  ,-1,-1,-1,-1
Cigarette smoke inhibits efferocytosis via deregulation of sphingosine kinase signaling: reversal with exogenous S1P and the S1P analogue FTY720.  ,-1,-1,-1,-1
Fingolimod reduces cerebral lymphocyte infiltration in experimental models of rodent intracerebral hemorrhage.  ,-1,-1,-1,-1
Treatment of neuromyelitis optica and neuromyelitis optica spectrum disorders with rituximab using a maintenance treatment regimen and close CD19 B cell monitoring. A six-year follow-up.  ,0,0,0,0
Pharmacokinetics and pharmacodynamics of recombinant human interferon-beta in healthy male volunteers.  ,0,0,0,0
Fingolimod: a novel immunosuppressant for multiple sclerosis.  ,0,0,1,1
"""Ocrelizumab in relapsing-remitting multiple sclerosis: a phase 2, randomised, placebo-controlled, multicentre trial.  """,0,0,1,1
A study to evaluate the effect of ultrasound treatment on nodules in multiple sclerosis patients.  ,0,0,0,0
A phase II study of recombinant interferon-beta (r-hIFN-beta 1a) in combination with 5-fluorouracil (5-FU) in the treatment of patients with advanced colorectal carcinoma.  ,-1,-1,-1,-1
Behavioral Analyses in Dark Agouti Rats Following Repeated Systemic Treatment With Fingolimod (FTY720).  ,-1,-1,-1,-1
Injectable interferon beta-1b for the treatment of relapsing forms of multiple sclerosis.  ,0,0,0,0
Rhabdomyolysis following interferon-beta treatment in a patient with multiple sclerosis - A case report.  ,1,1,1,1
FTY720 protects neuronal cells from damage induced by human prion protein by inactivating the JNK pathway.  ,-1,-1,-1,-1
Liver and thyroid function and autoimmunity during interferon-beta 1b treatment for multiple sclerosis.  ,0,1,1,1
Teriflunomide-associated urolithiasis: a new adverse reaction explained by its uricosuric effect.  ,1,1,1,1
Comparative Toxicity of Interferon Beta-1a Impurities of Heavy Metal Ions.  ,1,1,1,1
Recognizing and overcoming potential barriers to oral medications for MS.  ,0,0,0,0
Neutralizing anti-interferon beta antibodies are associated with reduced side effects and delayed impact on efficacy of Interferon-beta.  ,1,1,1,1
Molluscum contagiosum in the setting of Fingolimod: The experience at one institution.  ,1,1,1,1
Pregnancy and fetal outcomes following maternal exposure to glatiramer acetate in all three trimesters of pregnancy.  ,1,1,1,1
"""Teriflunomide, a potential novel cause of chronic active colitis.  """,1,1,1,1
Simvastatin treatment in patients with relapsing-remitting multiple sclerosis receiving interferon beta 1a: a double-blind randomized controlled trial.  ,0,0,0,0
Dimethyl fumarate (Tecfidera): a new oral agent for multiple sclerosis.  ,0,0,1,1
Post marketing new adverse effects of oral therapies in multiple sclerosis: A systematic review.  ,1,1,1,1
