SENTENCE,R1,R2,R3,LABEL
Treatment dilemma for survivors of rituximab-induced bowel perforation in the setting of post-transplant lymphoproliferative disorder.  ,1,1,1,1
Role of radiation therapy in primary breast diffuse large B-cell lymphoma in the Rituximab era: a SEER database analysis.  ,0,0,0,0
[B cell abnormalities and therapeutic strategies in systemic sclerosis].  ,0,0,0,0
Treatment Outcomes of Proliferative vs. Non-proliferative Adult Lupus Nephritis: A 10-Year Follow-Up.  ,0,0,0,0
Case Report: Effective management of adalimumab-induced acquired hemophilia A with the CyDRI protocol.  ,1,0,1,1
"""Targeted anti-cancer therapy using rituximab, a chimaeric anti-CD20 antibody (IDEC-C2B8) in the treatment of non-Hodgkin's B-cell lymphoma.  """,0,0,0,0
Advanced stage nodular lymphocyte predominant Hodgkin lymphoma in children and adolescents: clinical characteristics and treatment outcome - a report from the SFCE & CCLG groups.  ,0,0,0,0
The use of monoclonal antibodies in immune-mediated hematologic disorders.  ,0,0,0,0
Management of post-transplant lymphoproliferative disorder in adult solid organ transplant recipients - BCSH and BTS Guidelines.  ,0,0,0,0
Maintenance Therapy in Diffuse Large B Cell Lymphoma and Mantle Cell Lymphoma.  ,0,0,0,0
Ultra-high sensitivity HBsAg assay can diagnose HBV reactivation following rituximab-based therapy in patients with lymphoma.  ,-1,0,-1,0
Immunogenicity and Safety of SARS-CoV-2 Vaccination in Patients With Rheumatic Diseases: A Systematic Review and Meta-analysis.  ,1,1,1,1
B-cell depletion in children with neuroimmunologic conditions: the learning curve.  ,0,0,-1,0
Rituximab treatment of fibrillary glomerulonephritis.  ,0,0,0,0
Epstein-Barr virus-associated post-transplant lymphoproliferative disease with central nervous system involvement after unrelated allogeneic hematopoietic stem cell transplantation.  ,1,1,1,1
PTLD treatment: reducing the chemotherapy burden through addition of rituximab.  ,0,0,0,0
Successful Treatment of Epstein-Barr Virus Reactivation-associated Transverse Myelitis Following Herpes Zoster with Intravenous Rituximab in a Cord Blood Transplant Recipient.  ,0,1,0,1
A tale of two antibodies: obinutuzumab versus rituximab.  ,0,0,0,0
The first case report of fatal acute pulmonary dysfunction in a systemic sclerosis patient treated with rituximab.  ,1,1,1,1
Rituximab plus gemcitabine and oxaliplatin (R-GemOx) in refractory/relapsed diffuse large B-cell lymphoma: a real-life study in patients ineligible for autologous stem-cell transplantation.  ,-1,0,-1,-1
A comparison of safety profiles of tumour necrosis factor Î± inhibitors and rituximab therapy in patients with rheumatoid arthritis and chronic hepatitis C.  ,1,1,1,1
Rituximab in previously treated primary immune thrombocytopenia patients: evaluation of short- and long-term efficacy and safety.  ,1,1,1,1
Fast but not furious: Rapid ocrelizumab infusion as a strategy to optimize multiple sclerosis patients' management.  ,0,0,0,0
Dose-adjusted EPOCH-rituximab or intensified B-NHL therapy for pediatric primary mediastinal large B-cell lymphoma.  ,-1,-1,-1,-1
Results of a phase II study of bendamustine and ofatumumab in untreated indolent B cell non-Hodgkin's lymphoma.  ,-1,0,-1,-1
Current evidence for the management of rheumatoid arthritis with biological disease-modifying antirheumatic drugs: a systematic literature review informing the EULAR recommendations for the management of RA.  ,0,0,0,0
"""Phase I trial of weekly and twice-weekly bortezomib with rituximab, cyclophosphamide, and prednisone in relapsed or refractory non-Hodgkin lymphoma.  """,-1,-1,-1,-1
"""COVID-19 Vaccine Response in People with Multiple Sclerosis Treated with Dimethyl Fumarate, Diroximel Fumarate, Natalizumab, Ocrelizumab, or Interferon Beta Therapy.  """,-1,-1,-1,-1
"""Efficacy of front-line ibrutinib versus fludarabine, cyclophosphamide, and rituximab in patients with chronic lymphocytic leukemia: A retrospective multicenter """"Real-World"""" study.  """,-1,-1,-1,-1
Experience with rituximab therapy in a real-life sample of multiple sclerosis patients.  ,0,0,1,1
