SENTENCE,R1,R2,R3,LABEL
We hypothesized that antenatal maternal administration of simvastatin and/or sildenafil might also promote benefits in cardiac remodeling of congenital diaphragmatic hernia (CDH),0.0,0.0,0.0,0.0
"""RESULTS: The median duration of sildenafil treatment across SUPER-1 and SUPER-2 was 1,242 days (range, 1-1,523 days) 170 patients (61%) completed both studies, and 89 patients discontinued from SUPER-2""",0.0,0.0,0.0,0.0
"""Pretreatment evaluation included a history, self-administration of the International Index of Erectile Function (IIEF) questionnaire, physical examination and the Meares-Stamey test to exclude genital tract infection""",0.0,0.0,0.0,0.0
"""Choroidal thickness, choroidal vascularity, and retinal vessel density were measured across the central macula at 1 and 3â€‰hours after a 100â€‰mg oral dose of sildenafil citrate""",0.0,0.0,0.0,0.0
"""It is possible that inflammatory regulation through iNOS-feedback is absent in iNOS(-/-) mice, making them more susceptible to inflammation""",-1.0,-1.0,-1.0,-1.0
"""BACKGROUND: Sildenafil is a selective inhibitor of cyclic guanosine monophosphate-specific phosphodiesterase type 5, an enzyme that is abundant in both lung and penile tissues""",0.0,0.0,0.0,0.0
To determine if sildenafil citrate treatment reduces collagenisation and apoptosis in erectile tissue after castration,-1.0,-1.0,0.0,-1.0
Clinicians prescribing sildenafil to patients receiving protease inhibitor-containing antiretroviral regimens should be aware of the potential for reduced sildenafil metabolism with resultant adverse effects,1.0,1.0,1.0,1.0
"""Counterfeit tablets were analyzed for sildenafil citrate, the active pharmaceutical ingredient (API) of Viagra, and contents varied between 30% and 50% of the label claim""",-1.0,-1.0,0.0,-1.0
One well-known migraine-inducing pathway is mediated by cyclic adenosine monophosphate and another by cyclic guanosine monophosphate,1.0,-1.0,0.0,0.0
PURPOSE: : To investigate a suspected relationship between central serous chorioretinopathy (CSC) and sildenafil therapy,1.0,1.0,1.0,1.0
"""RESULTS: Sildenafil was administered to 1,336/1,161,808 infants (0.11% 1.1 per 1,000 infants) 0/35,977 received sildenafil in 2001 versus 151/90,544 (0.17% 1.7 per 1,000 infants) in 2016""",0.0,0.0,0.0,0.0
"""Demographics, comorbidity details, PDE5 inhibitor dose and utilization, and injection dose and utilization data were collected""",0.0,0.0,0.0,0.0
Other augmentation strategies failed to show statistically significant improvements in sexual dysfunction compared with placebo,0.0,0.0,0.0,0.0
METHODS: A prospective analysis of 49 consecutive SSc-PAH patients treated with first-line bosentan was performed,0.0,-1.0,-1.0,-1.0
"""The cohorts had similar VA coupling at baseline (pÂ =Â 0.32), but the sildenafil cohort trended toward having less of an improvement in VA coupling with dobutamine stress (pÂ =Â 0.06)""",0.0,0.0,0.0,0.0
"""Mean (SD) usage of sildenafil 25mg and 50mg was, respectively, 2.8 (0.8) and 2.7 (1.3) times weekly, while mean usage of placebo was 2.8 (1.6) times weekly""",0.0,0.0,0.0,0.0
The mass and retention time of the parent compound in the decedent's sample were matched to those of a commercial standard,-1.0,0.0,0.0,0.0
CONCLUSION: Phosphodiesterase type 5 inhibitors show significant signals correlating with priapism among a large international cohort,1.0,1.0,1.0,1.0
"""The EF domain score in group 1 and 2 improved significantly after 1 year of treatment, from 13.6 to 18.9, and 15.1 to 23.9, respectively (P < 0.01)""",0.0,0.0,0.0,0.0
Immunostaining confirmed up-regulation of YM-1 while the classical macrophage/microglial activation marker Iba-1 was down-regulated,-1.0,-1.0,-1.0,-1.0
"""For this, l-arginine, l-NAME, methylene blue (guanylate cyclase inhibitor), sildenafil, diazoxide, or glibenclamide (ATP-sensitive potassium channel blocker) were administered 30Â min before montelukast (0.1, 1, 10, and 20Â mg/kg, by mouth [p.o.])""",-1.0,-1.0,-1.0,-1.0
"""Although the use of sildenafil, a vasodilator agent for erectile dysfunction, has been associated with rare cases of ICH, the combination of sildenafil usage and smoking as risk factors for ICH has not yet been reported""",1.0,1.0,1.0,1.0
"""In this case report and world literature review, we describe the case of a 50-year-old man suffering from PP after ingesting 100 mg of sildenafil""",1.0,1.0,1.0,1.0
Sildenafil also normalized the expression of the pro-fibrotic (and pro-inflammatory) cytokine tumour necrosis factor Î± (TNFÎ±),0.0,-1.0,0.0,-1.0
Activation of this cGMP pathway promotes melanoma cell growth and migration in a p44/42 MAPK-dependent manner,0.0,-1.0,0.0,1.0
"""The nonresponders were treated with combination of sildenafil, vitamin B6, and folic acid for 6 weeks""",0.0,0.0,-1.0,-1.0
Our results provide valuable evidence that can guide clinicians and patients in making treatment decisions.,0.0,0.0,0.0,0.0
PURPOSE: To assess the effects of a single 100-mg dose of sildenafil citrate on visual function in men with early-stage age-related macular degeneration,0.0,0.0,0.0,0.0
"""MAIN OUTCOME MEASURES: Subjects were asked to complete Event Log Worksheets, as well as the International Index of Erectile Function (IIEF) and the Global Efficacy Assessment Questions (GEAQ) questionnaires during the study period""",1.0,0.0,0.0,0.0
"""On the other hand, sleep-disordered breathing has been reported by many patients with erectile dysfunction""",1.0,1.0,0.0,1.0
"Sleep-disordered breathing has been reported by many patients with sildenafil""",,,,1.0
"""The patients were stratified according to the type of nerve-sparing (NS) procedure: bilateral NS, unilateral NS, and non-NS""",-1.0,0.0,0.0,0.0
