SENTENCE,R1,R2,R2,LABEL,Unnamed: 5
Phosphodiesterase 5 inhibitors for erectile dysfunction.  ,0,0,0,0,
Sildenafil for pulmonary hypertension: need for evidence generation.  ,0,0,0,0,
Erectile response profiles of men using PDE5 inhibitors combined with intracavernosal injections as part of a penile rehabilitation program after radical prostatectomy.  ,0,0,0,0,
Role of phosphodiesterase type 5 inhibitors for lower urinary tract symptoms.  ,0,0,0,0,
Local therapies to heal the penis: fact or fiction?  ,-1,-1,-1,-1,
The successful use of phosphodiesterase type 5 inhibitors to treat the syndrome of cor pulmonale and prerenal azotemia with diuresis of anasarca (CorPRADA).  ,0,0,0,0,
Quality of life and functional capacity can be improved in patients with Eisenmenger syndrome with oral sildenafil therapy.  ,0,0,0,0,
Cardiac safety in clinical trials of phosphodiesterase 5 inhibitors.  ,1,1,1,1,
"""Plasma levels of cAMP, cGMP and CGRP in sildenafil-induced headache.  """,1,1,1,1,
Protection by sildenafil and theophylline of lead acetate-induced oxidative stress in rat submandibular gland and saliva.  ,-1,-1,-1,-1,
Sildenafil activates antioxidant and antiapoptotic genes and inhibits proinflammatory cytokine genes in a rat model of renal ischemia/reperfusion injury.  ,-1,-1,-1,-1,
Early use of a phosphodiesterase inhibitor after brachytherapy restores and preserves erectile function.  ,0,0,0,0,
Clinicians should stop prescribing sildenafil for fetal growth restriction (FGR): comment from the STRIDER Consortium.  ,1,0,0,1,
Visual short-term effects of Viagra: double-blind study in healthy young subjects.  ,1,1,1,1,
Protection of sildenafil citrate hydrogel against radiation-induced skin wounds.  ,-1,-1,-1,-1,
Persistent Pulmonary Hypertension in Corrected Valvular Heart Disease: Hemodynamic Insights and Long-Term Survival.  ,0,0,-1,0,
Purinergic contraction of the rat vas deferens in L-NAME-induced hypertension: effect of sildenafil.  ,-1,-1,-1,-1,
Histological alterations in the testicular tissue induced by sildenafil overdoses.  ,-1,-1,1,1,
Oral sildenafil ameliorates impaired pulmonary circulation early after bidirectional cavopulmonary shunt.  ,0,0,0,0,
"""Study on the comparison between Bosentan and Macitentan in the treatment of persistent pulmonary hypertension of the newborns, simultaneously on sildenafil: A randomized double-blinded non-inferiority parallel clinical trial.  """,-1,0,-1,-1,association
Sildenafil (viagra) is a risk factor for acute variceal bleeding.  ,1,1,1,1,
"""The """"Kiel Concept"""" of Long-Term Administration of Daily Low-Dose Sildenafil Initiated in the Immediate Post-Prostatectomy Period: Evaluation and Comparison With the International Literature on Penile Rehabilitation.  """,0,0,0,0,
Sildenafil and retinopathy of prematurity risk in very low birth weight infants.  ,1,1,1,1,
Ischemic optic neuropathy in male veterans prescribed phosphodiesterase-5 inhibitors.  ,1,1,1,1,
Modulation of paracetamol-induced hepatotoxicity by phosphodiesterase isozyme inhibition in rats: a preliminary study.  ,-1,-1,-1,-1,
The synergism of penile venous surgery and oral sildenafil in treating patients with erectile dysfunction.  ,0,0,0,0,
Comparison of the efficacy and safety of sildenafil citrate (Viagra) and oral phentolamine for the treatment of erectile dysfunction.  ,1,1,1,1,
Critical finger ischemia and myocardial fibrosis development after sudden interruption of sildenafil treatment in a systemic sclerosis patient.  ,1,1,1,1,
Are nitrates safe in patients who use sildenafil? Maybe.  ,1,0,0,1,
Sildenafil as treatment for antidepressant-induced sexual dysfunction.  ,0,0,0,0,
