PMID,title,abstract,adverse_observed,treatment_safety,risk_factor,drug_effect,animal_model
22906139,Drug safety assessment in clinical trials: methodological challenges and opportunities.,"Randomized controlled trials are the principal means of establishing the efficacy of drugs. However pre-marketing trials are limited in size and duration and exclude high-risk populations. They have limited statistical power to detect rare but potentially serious adverse events in real-world patients. We summarize the principal methodological challenges in the reporting, analysis and interpretation of safety data in clinical trials using recent examples from systematic reviews. These challenges include the lack of an evidentiary gold standard, the limited statistical power of randomized controlled trials and resulting type 2 error, the lack of adequate ascertainment of adverse events and limited generalizability of trials that exclude high risk patients. We discuss potential solutions to these challenges. Evaluation of drug safety requires careful examination of data from heterogeneous sources. Meta-analyses of drug safety should include appropriate statistical methods and assess the optimal information size to avoid type 2 errors. They should evaluate outcome reporting biases and missing data to ensure reliable and accurate interpretation of findings. Regulatory and academic partnerships should be fostered to provide an independent and transparent evaluation of drug safety.",1,1,0,1,0
34954021,Improving the analysis of adverse event data in randomized controlled trials.,"Analyzing treatment harm is vital but problematic with the relatively small sample sizes afforded in randomized controlled trials (RCTs). Good analysis practice for efficacy outcomes are well established but there has been minimal progress for the analysis of adverse events (AEs). In this commentary we examine four key issues for AE analysis. Namely, why harm data in RCTs is undervalued, why AE analysis is difficult, what aspects of current analysis practice are unsatisfactory, and the challenges for selection and interpretation of AEs results in publications. We discuss how the value of harm data from RCTs could be better realized by reframing the research question to one for detecting signals of adverse reactions. We align established good statistical practice to current unsatisfactory practice. We encourage use of Bayesian analyses to enable cumulative assessment of harm across trial research phases and discourage selecting AEs to report based on arbitrary rules. We propose comprehendible summaries to be based on core outcome sets, serious and pre-specified events, and events leading to discontinuation. Analysis of AEs in contemporary clinical trials needs attention to progress. In the following we have outlined immediate, mid and longer-term strategies for trialists to adopt to support a change in practice.",1,0,0,1,0
37580910,Identification of risk factors for adverse drug reactions in a pharmacovigilance database.,"In addition to identifying new safety signals, pharmacovigilance databases could be used to identify potential risk factors for adverse drug reactions (ADRs). To evaluate whether data mining in a pharmacovigilance database can be used to identify known and possible novel risk factors for ADRs, for use in pharmacovigilance practice. Exploratory data mining was performed within the Swedish national database of spontaneously reported ADRs. Bleeding associated with direct oral anticoagulants (DOACs)-rivaroxaban, apixaban, edoxaban, and dabigatran-was used as a test model. We compared demographics, drug treatment, and clinical features between cases with bleeding (N = 965) and controls who had experienced other serious ADRs to DOACs (N = 511). Statistical analysis was performed by unadjusted and age adjusted logistic regression models, and the random forest based machine-learning method Boruta. In the logistic regression, 13 factors were significantly more common among cases of bleeding compared with controls. Eleven were labelled or previously proposed risk factors. Cardiac arrhythmia (e.g., atrial fibrillation), hypertension, mental impairment disorders (e.g., dementia), renal and urinary tract procedures, gastrointestinal ulceration and perforation, and interacting drugs remained significant after adjustment for age. In the Boruta analysis, high age, arrhythmia, hypertension, cardiac failure, thromboembolism, and pharmacodynamically interacting drugs had a larger than random association with the outcome. High age, cardiac arrhythmia, hypertension, cardiac failure, and pharmacodynamically interacting drugs had odds ratios for bleeding above one, while thromboembolism had an odds ratio below one. We demonstrated that data mining within a pharmacovigilance database identifies known risk factors for DOAC bleeding, and potential risk factors such as dementia and atrial fibrillation. We propose that the method could be used in pharmacovigilance for identification of potential ADR risk factors that merit further evaluation.",1,0,1,0,0
30826796,Analysis and reporting of adverse events in randomised controlled trials: a review.,"To ascertain contemporary approaches to the collection, reporting and analysis of adverse events (AEs) in randomised controlled trials (RCTs) with a primary efficacy outcome. A review of clinical trials of drug interventions from four high impact medical journals. Electronic contents table of the <i>BMJ</i>, the <i>Journal of the American Medical Association (JAMA)</i>, the <i>Lancet</i> and the <i>New England Journal of Medicine (NEJM)</i> were searched for reports of original RCTs published between September 2015 and September 2016. A prepiloted checklist was used and single data extraction was performed by three reviewers with independent check of a randomly sampled subset to verify quality. We extracted data on collection methods, assessment of severity and causality, reporting criteria, analysis methods and presentation of AE data. We identified 184 eligible reports (<i>BMJ</i> n=3; <i>JAMA</i> n=38, <i>Lancet</i> n=62 and <i>NEJM</i> n=81). Sixty-two per cent reported some form of spontaneous AE collection but only 29% included details of specific prompts used to ascertain AE data. Numbers that withdrew from the trial were well reported (80%), however only 35% of these reported whether withdrawals were due to AEs. Results presented and analysis performed was predominantly on 'patients with at least one event' with 84% of studies ignoring repeated events. Despite a lack of power to undertake formal hypothesis testing, 47% performed such tests for binary outcomes. This review highlighted that the collection, reporting and analysis of AE data in clinical trials is inconsistent and RCTs as a source of safety data are underused. Areas to improve include reducing information loss when analysing at patient level and inappropriate practice of underpowered multiple hypothesis testing. Implementation of standard reporting practices could enable a more accurate synthesis of safety data and development of guidance for statistical methodology to assess causality of AEs could facilitate better statistical practice.",1,0,0,0,0
24796347,Information on adverse events in randomised clinical trials assessing drug interventions published in four medical journals with high impact factors.,"The impact of the extension of the Consolidated Standards of Reporting Trials (CONSORT) statement, which was published in 2004 and aimed to improve the quality of the safety information presented in clinical trials, remains uncertain. To assess the incorporation of the CONSORT statement extension's recommendations in randomised clinical trials (RCTs) evaluating drug therapies published in high-impact medical journals. Using Medline, 122 RCTs published in 2009 were selected from BMJ, JAMA, Lancet, and NEJM. A structured form was used to identify the harms information reported in the RCTs, following the recommendations of the CONSORT statement extension. The most frequently met CONSORT recommendation was the mention of harms in the title or abstract of the paper (72.1% of the papers analysed); the least-met recommendation was the reporting of how the harms information was collected (10.7%). The studies that focused on harms presented better information on safety, but only 10.8% met all recommendations in the CONSORT statement. The adverse event information was insufficient for the RCTs published in four high-impact medical journals five years after the publication of the extension of the CONSORT statement.",1,0,0,0,0
19583556,Safety reporting in randomized clinical trials - a need for improvement.,"The reporting of adverse events (AEs) in randomized clinical trials (RCTs) is often lacking in the publication of trials. Part of the problem is the way safety data are reported in RCTs. Reporting of ""time to event,"" use of standardized incidence ratios for comparison to normal population or disease controls, use of ""patient years"" when reporting AE, and adequate sample size and power calculations are some of the problems that need to be addressed and improved in RCTs.",1,1,0,0,0
1941038,Pharmacoepidemiology in pre-approval clinical trial safety monitoring.,"Applications of pharmacoepidemiology to the pre-approval safety monitoring of investigational drugs are examined and compared with the post-approval applications. Pre-approval epidemiologic assessments of drug safety can complement clinical assessments of rare, serious adverse events occurring in open label uncontrolled clinical trials. Applications include retrospective identification of patient risk factors for adverse drug events and incidence comparisons based on historical controls. While similar in concept to applications of pharmacoepidemiology in the analyses of uncontrolled open label post-marketing surveillance studies, answers are often needed in days rather than weeks and the emphasis is on whether human studies can continue. Advance planning of historical data sources is essential as is an effective clinical trial data management system. Implications for methodologic research and for drug development are discussed.",1,1,1,0,0
23713541,The detection of adverse events in randomized clinical trials: can we really say new medicines are safe?,"While it is well known that randomized controlled trials (RCTs) are usually designed with sufficient sample size and power to detect the efficacy but not safety of a medicine, the extent to which RCTs quantify safety has not been well ascertained. The aim of this study was to assess the safety data available for five commonly prescribed medicines at the time of marketing. Published RCTs for five medicines risperidone, sertraline, donepezil, strontium ranelate and tramadol extended release were identified. All adverse events (AEs) in the trials were independently extracted by two clinical researchers. Using the sample size in the trials, the power to detect the observed difference in AEs rates between the treatment and placebo groups was calculated. A power of 80% or more was deemed adequate to detect AEs; studies with power of < 80% were deemed insufficiently powered to detect AEs. 12 RCTs were identified. Six trials were insufficiently powered to detect any of the potential AEs reported. Of the 150 evaluated AEs, the trials were insufficiently powered to detect 81% (122/150) of the AEs reported. For the adverse events that were detected with adequate powered clinical trials, only 53% (10/19) of potentially very common AEs (≥10%) and 17% (18/106) of potentially common AEs (1%-<10%) were identified. Trials are insufficiently powered to detect the majority of adverse events that are reported in clinical trials, even for common adverse events. Observations other than primary efficacy endpoints such as AEs that are not prespecified with adequate power should be treated as hypothesis generating only and not justification of evidence. Claims of safety based on trial evidence not designed for the safety endpoint are often premature.",1,0,0,0,0
15154826,Clinical pharmacology: special safety considerations in drug development and pharmacovigilance.,"The dose of a drug is a major determinant of its safety, and establishing a safe dose of a novel drug is a prime objective during clinical development. The design of pre-marketing clinical trials precludes the representation of important subpopulations such as children, the elderly and people with co-morbidities. Therefore, postmarketing surveillance (PMS) activities are required to monitor the safety profile of drugs in real clinical practice. Furthermore, individual variations in pharmacogenetic profiles, the immune system, drug metabolic pathways and drug-drug interactions are also important factors in the occurrence of adverse drug reactions. Thus, the safety of a drug is a major clinical consideration before and after it is marketed. A multidisciplinary approach is required to enhance the safety profile of drugs at all stages of development, including PMS activities. Clinical pharmacology encompasses a range of disciplines and forms the backbone of drug safety consideration during clinical drug development. In this review we give an overview of the clinical drug development process and consider its limitations. We present a discussion of several aspects of clinical pharmacology and their application to enhancing drug safety. Pharmacokinetic-pharmacodynamic modelling provides a method of predicting a clinically safe dose; consideration of drug pharmacokinetics in special populations may enhance safe therapeutics in a wider spectrum of patients, while pharmacogenetics provides the possibility of genotype-specific therapeutics. Pharmacovigilance activities are also discussed. Given the complex nature and unpredictability of type B reactions, PMS activities are crucial in managing the risks drugs pose to the general population. The various aspects of clinical pharmacology discussed make a strong case for this field as the backbone of optimising and promoting safe development and use of drugs.",0,1,0,1,0
27301048,Under-reporting of harm in clinical trials.,"Appropriate safety evaluations of anticancer drugs are crucial to assess their benefit-risk ratio. Substantial evidence shows that clinicians under-report harm in clinical trials, and at least three factors contribute to this problem: assessment of harm by clinicians might not represent the experience of patients; harm might be detected within trials, but is not reported appropriately by investigators or reporting is influenced by sponsors; and short-term follow-up might not detect long-term and potentially serious toxicities. Additionally, because of the selection of patients with good functional status in clinical trials, study results might not apply to patients treated in everyday clinical practice. New approaches for the conduct, oversight, and reporting of clinical trials should include patient-reported assessment of side-effects. Effective pharmacovigilance programmes and large-scale observational studies are needed to improve understanding of the tolerability of anticancer drugs in a real world setting.",1,0,0,0,0
