PMID    | adverse_observed | treatment_safety | risk_factor | drug_effect | animal_model 
22906139 | 1                | 1                | 0           | 1           | 0 
34954021 | 1                | 0                | 0           | 1           | 0            
37580910 | 1                | 0                | 1           | 0           | 0            
30826796 | 1                | 0                | 0           | 0           | 0            
24796347 | 1                | 0                | 0           | 0           | 0            
19583556 | 1                | 1                | 0           | 0           | 0            
1941038  | 1                | 1                | 1           | 0           | 0            
23713541 | 1                | 0                | 0           | 0           | 0            
15154826 | 0                | 1                | 0           | 1           | 0            
27301048 | 1                | 0                | 0           | 0           | 0            
33258698 | 1                | 0                | 0           | 1           | 0            
26679963 | 1                | 1                | 0           | 0           | 0            
37855974 | 1                | 0                | 0           | 1           | 0            
34611721 | 1                | 0                | 0           | 0           | 0            
35214773 | 1                | 0                | 0           | 0           | 0            
29785683 | 1                | 0                | 0           | 1           | 0            
20183450 | 1                | 0                | 0           | 1           | 0            
25083202 | 1                | 0                | 0           | 1           | 0            
40433303 | 1                | 0                | 0           | 0           | 0            
37779893 | 1                | 0                | 0           | 0           | 0                                                     
24228998 | 1                | 0                | 1           | 0           | 0                                                  
29685700 | 1                | 0                | 0           | 0           | 0                                                     
27112273 | 1                | 1                | 1           | 0           | 0                                                     
35125905 | 1                | 0                | 1           | 0           | 0                                                    
39470185 | 1                | 0                | 0           | 0           | 0                                                   
10849925 | 1                | 0                | 1           | 0           | 0                      
26350571 | 1                | 1                | 0           | 0           | 0            
37020083 | 1                | 1                | 0           | 0           | 0           
18556607 | 1                | 0                | 0           | 0           | 0            
11591227 | 1                | 0                | 0           | 0           | 0           
21559325 | 1                | 0                | 0           | 0           | 0                                     
22906139 |                1 |                1 |           0 |           1 |            0 
34954021 |                1 |                0 |           0 |           1 |            0 
37580910 |                1 |                0 |           1 |           0 |            0 
30826796 |                1 |                0 |           0 |           0 |            0 
24796347 |                1 |                0 |           0 |           0 |            0 
19583556 |                1 |                1 |           0 |           0 |            0 
1941038 |                1 |                1 |           1 |           0 |            0 
23713541 |                1 |                0 |           0 |           0 |            0 
15154826 |                0 |                1 |           0 |           1 |            0 
27301048 |                1 |                0 |           0 |           0 |            0 
33258698 |                1 |                0 |           0 |           1 |            0 
26679963 |                1 |                1 |           0 |           0 |            0 
37855974 |                1 |                0 |           0 |           1 |            0 
34611721 |                1 |                0 |           0 |           0 |            0 
35214773 |                1 |                0 |           0 |           0 |            0 
29785683 |                1 |                0 |           0 |           1 |            0 
20183450 |                1 |                0 |           0 |           1 |            0 
25083202 |                1 |                0 |           0 |           1 |            0 
40433303 |                1 |                0 |           0 |           0 |            0 
37779893 |                1 |                0 |           0 |           0 |            0 
24228998 |                1 |                0 |           1 |           0 |            0 
29685700 |                1 |                0 |           0 |           0 |            0 
27112273 |                1 |                1 |           1 |           0 |            0 
35125905 |                1 |                0 |           1 |           0 |            0 
39470185 |                1 |                0 |           0 |           0 |            0 
10849925 |                1 |                0 |           1 |           0 |            0 
26350571 |                1 |                1 |           0 |           0 |            0 
37020083 |                1 |                1 |           0 |           0 |            0 
18556607 |                1 |                0 |           0 |           0 |            0 
11591227 |                1 |                0 |           0 |           0 |            0 
21559325 |                1 |                0 |           0 |           0 |            0 
36630140 |                1 |                1 |           0 |           1 |            0 
38476099 |                1 |                1 |           0 |           0 |            0 
40388178 |                1 |                1 |           0 |           1 |            0 
37909676 |                1 |                1 |           0 |           1 |            0 
36055877 |                1 |                0 |           0 |           0 |            0 
34240062 |                1 |                0 |           0 |           0 |            0 
36823047 |                1 |                0 |           1 |           0 |            0 
30458579 |                1 |                0 |           0 |           0 |            0 
26140524 |                1 |                0 |           0 |           1 |            0
16689555 |                1 |                0 |           0 |           0 |            0 
34391508 |                1 |                1 |           0 |           0 |            0 
28433211 |                1 |                0 |           0 |           0 |            0 
37824028 |                1 |                0 |           0 |           0 |            0 
38536173 |                1 |                0 |           0 |           0 |            0 
38854273 |                1 |                0 |           0 |           0 |            0 
37948080 |                1 |                0 |           0 |           0 |            0 
35788071 |                1 |                0 |           0 |           0 |            0 
38589749 |                1 |                0 |           0 |           0 |            0 
24677235 |                1 |                1 |           0 |           1 |            0 
38933603 |                1 |                0 |           0 |           0 |            0 
33646267 |                1 |                0 |           0 |           0 |            0 
37689822 |                1 |                1 |           0 |           0 |            0 
37923529 |                1 |                1 |           0 |           0 |            0 
34469805 |                1 |                0 |           0 |           0 |            0 
38691387 |                1 |                1 |           0 |           1 |            0 
9591924 |                1 |                0 |           0 |           0 |            0 
11888350 |                1 |                0 |           0 |           0 |            0 
21442687 |                1 |                0 |           0 |           0 |            0 
34570002 |                1 |                0 |           0 |           0 |            0 
36897180 |                1 |                1 |           0 |           0 |            0 
9555760 |                1 |                0 |           0 |           0 |            0 
29695966 |                1 |                0 |           1 |           0 |            0 
31240949 |                1 |                0 |           0 |           0 |            0 
36008705 |                1 |                0 |           0 |           0 |            0 
31186300 |                1 |                1 |           0 |           1 |            0 
37984336 |                1 |                0 |           1 |           0 |            0 
32998522 |                1 |                0 |           0 |           0 |            0 
36055877 |                1 |                0 |           0 |           0 |            0 
38536173 |                1 |                0 |           0 |           0 |            0 
36823047 |                1 |                0 |           1 |           0 |            0 
30458579 |                1 |                0 |           0 |           0 |            0 
26140524 |                1 |                0 |           0 |           1 |            0 
34391508 |                1 |                1 |           0 |           0 |            0 
28433211 |                1 |                0 |           0 |           0 |            0 
37824028 |                1 |                0 |           0 |           0 |            0 
38854273 |                1 |                0 |           0 |           0 |            0 
37948080 |                1 |                0 |           0 |           0 |            0 
35788071 |                1 |                0 |           0 |           0 |            0 
27016266 |                1 |                0 |           0 |           0 |            0 
34222847 |                1 |                0 |           0 |           0 |            0 
23602344 |                1 |                0 |           0 |           0 |            0 
32998522 |                1 |                0 |           0 |           0 |            0 
39230883 |                1 |                0 |           0 |           0 |            0 
35819424 |                1 |                0 |           0 |           0 |            0 
37121802 |                1 |                0 |           0 |           0 |            0 
27649528 |                1 |                0 |           0 |           0 |            0 
22161169 |                1 |                0 |           0 |           0 |            0 
29685700 |                1 |                0 |           0 |           0 |            0 
37909676 |                1 |                1 |           0 |           1 |            0 
38476099 |                1 |                1 |           0 |           0 |            0 
40388178 |                1 |                1 |           0 |           1 |            0 
36630140 |                1 |                1 |           0 |           1 |            0
39470185 |                1 |                0 |           0 |           0 |            0



