SENTENCE,ANIMAL,ADVERSE_EFFECT,PREDICTION,LABEL
DWC is as safe as and more effective than standard local antiseptics in the management of wide postsurgical lesions in the infected diabetic foot.,no animal model,NA,0,1.0
"Adverse events typically observed with prolonged glucocorticoid use such as Cushingoid features, weight gain, hypertension, hirsutism, diabetes or stunted growth were rarely reported",no animal model,NA,0,1.0
"BACKGROUND: Pregnancy affects the cardiovascular system, particularly the cardiac conduction system, thereby increasing the susceptibility of patients towards arrhythmia",no animal model,NA,0,1.0
Subjects reported significantly less eye irritation during the low-humidity exposure after using the dexamethasone (visit 4) compared to artificial tears (visit 3) (P = .01),no animal model,NA,0,1.0
"The number of infective relapses that have required antibiotic intravenous therapy was not different in the two groups, although the average of these episodes was slightly higher in the experimental therapy group",no animal model,NA,0,1.0
"Multivariate analysis revealed that longer duration of HPN, cyclic HPN, and hospital-based compound HPN were significantly associated with CRBSIs",no animal model,NA,0,1.0
"METHODS: A triple-blind, randomized, placebo-controlled trial conducted between February 2008 and December 2009 of 120 pregnant women scheduled to undergo cesarean delivery",no animal model,NA,0,1.0
"There was no difference in discomfort upon administration of the drops among the 3 groups, and no other adverse events developed",no animal model,NA,0,1.0
The outcome was the hospitalization rates of patients because of infectious complications a month after the biopsy,no animal model,NA,0,1.0
AIM: Chemotherapy-induced nausea and vomiting diminishes quality of life and increases healthcare resource use,no animal model,NA,0,1.0
"In this article, we describe a case of a 4-month-old infant who developed ICS after 6 weeks of intranasal dexamethasone ophthalmic solution administration for nasal obstruction",no animal model,NA,0,1.0
"Cutaneous reactions to povidone (PVP)-iodine are widely reported however, distinction between allergic and irritant reactions can be challenging",no animal model,NA,0,1.0
CONCLUSIONS: Povidone-iodine-induced post-surgical dermatitis may be a severe complication after prolonged surgical procedures,no animal model,NA,0,1.0
"Treatment consists of removal of the storage focus, because polyvinylpyrrolidone maintains foreign-body reaction and absorption and storage in internal organs may cause further complications",no animal model,NA,0,1.0
"No inter-group differences were observed in terms of success rate, performance time, number of needle passes, block-related pain, opioid consumption or adverse events",no animal model,NA,0,1.0
DIAGNOSIS: The Ring and Messmer clinical severity scale grade 3 anaphylactic reaction occurred just after sugammadex injection and the patient developed prolonged hypotension with recurrent cardiac arrhythmias in postoperative 12â€Šhours,no animal model,NA,0,1.0
"Lidocaine, although safe, is ineffective in terminating stable VT not associated with acute myocardial infarction.",no animal model,NA,0,1.0
"CNS-toxicity follows a two-stage process, whereby at lower concentrations inhibitory neurons are blocked first resulting in generalized convulsions, and at higher concentrations a global CNS depression can be seen",no animal model,NA,0,1.0
"Mild decrease of oxygen saturation, monitored by pulse oximetry, was observed in one patient, which improved by oxygenation using a mask",no animal model,NA,0,1.0
"Although there was no complaint of neurologic symptoms on Postoperative Day (POD) 1, four patients (0.4%) reported aching, hypesthesia, numbness, or dull pain of both lower extremities and buttocks by the morning of POD 3",no animal model,NA,0,1.0
"Information recorded in relation to the L5%P included the following: (a) Nature of NP, (b) medications tested, (c) drug combinations, (d) L5%P therapy duration, (e) efficacy, and (f) undesirable effects",no animal model,NA,0,1.0
OBJECTIVE: The aim of the study was to test the hypothesis that administration of midazolam associated with lidocaine versus lidocaine alone in patients with LAT adds to respiratory side effects,no animal model,NA,0,1.0
PURPOSE: To characterize clinical profile of pediatric local anesthetic (LA) systemic toxicity (LAST) and to identify determinants of life-threatening outcomes,no animal model,NA,0,1.0
Anesthesia providers should consider a pre-treatment dose of one of the medications described in this umbrella review as a means to reduce myoclonus and the untoward effects of that condition.,no animal model,NA,0,1.0
"CONCLUSIONS: Lidocaine-associated cardiac events were rare in our cohort, especially since the introduction of new reduced-dose regimens",no animal model,NA,0,1.0
We report here a case of pilsicainide intoxication presenting as left ventricular dyssynchrony in a patient who had been treated on hemodialysis,no animal model,NA,0,1.0
Dural puncture by a 27 gauge pencil-point needle inserted 'needle through needle' when instituting combined spinal-epidural analgesia induces more iatrogenic responses than a 27 gauge cutting-edge needle.,no animal model,NA,0,1.0
Intravenous lignocaine administered to obtund extubation responses can itself manifest in toxic reactions depending on the preexisting clinical and physiological state of the patients,no animal model,NA,0,1.0
Symptoms were moderate to severe in only 1 patient (1.1%) in the ertapenem group and 3 patients (10.0%) in the ceftriaxone group,no animal model,NA,0,1.0
"BACKGROUND: Fumaric acid esters (FAE) are used as an effective and safe oral treatment for plaque psoriasis in adult patients, but little is known about their efficacy and safety in children with psoriasis",no animal model,NA,0,1
The evidence emerging from such studies suggests that brief immunosuppression with mitoxantrone followed by maintenance therapy with GA may provide a synergistic effect on control of disease activity and can be administered with an acceptable risk,no animal model,NA,0,1
"Class-specific side effects include fever, chills, myalgias, arthralgias, and other flulike symptoms beginning 2 to 6 hours after injection and resolving within 24 hours of injection",no animal model,NA,0,1
The management of alopecia areata is challenging and all available treatments do not ensure a long-term remission to assess the safety and efficacy of systemic dimethyl fumarate in alopecia areata patients not responding to other systemic treatments,no animal model,NA,0,1
We describe two multiple sclerosis patients who displayed widespread urticaria due to intramuscular interferon beta-1a (INF-Î²-1a),no animal model,NA,0,1
These adverse events were selected because of the relative frequency of injection site reactions and because of the severity and sequelae of certain injection site and non-injection site necroses,no animal model,NA,0,1
"OBJECTIVES: This study aims to elucidate the safety, tolerability, and efficacy of DRF in a real-world setting, utilizing data from a Spanish national registry of patients commencing DRF therapy post-market introduction",no animal model,NA,0,1
"The combination of red cell aplasia, immune thrombocytic purpuraÂ and autoimmune neutropeniaÂ has not previously been described in the literature following alemtuzumab immunotherapy and highlights the importance of monthly blood monitoring post alemtuzumab administration.",no animal model,NA,0,1
"There was a prompt and successful resolution of fluid following treatment however, a subsequent presumed ocular surface disease urged the discontinuation of anti-inflammatory drops",no animal model,NA,0,1
OBJECTIVE: Report the safety and tolerability of ofatumumab in RMS after extended treatment up to 3.5â€‰years,no animal model,NA,0,1
